+---------+---------------------------------------------------+---------+-----------------+
| gh_lang | gh_project_name                                   | commits | tr_log_analyzer |
| java    | OpenGrok/OpenGrok                                 |     359 | java-maven      |
| java    | jtwig/jtwig                                       |     348 | java-maven      |
| java    | ActiveJpa/activejpa                               |     345 | java-maven      |
| java    | Esri/geometry-api-java                            |     341 | java-maven      |
| java    | dblock/waffle                                     |     333 | java-maven      |
| java    | foursquare/fongo                                  |     330 | java-maven      |
| java    | haiwen/seadroid                                   |     330 | java-maven      |
| java    | gresrun/jesque                                    |     330 | java-maven      |
| java    | zeroturnaround/zt-exec                            |     326 | java-maven      |
| java    | helun/Ektorp                                      |     324 | java-maven      |
| java    | jayway/rest-assured                               |     313 | java-maven      |
| java    | chocoteam/choco3                                  |     312 | java-maven      |
| java    | eclipse/jetty.project                             |     306 | java-maven      |
| java    | DozerMapper/dozer                                 |     302 | java-maven      |
| java    | togglz/togglz                                     |     302 | java-maven      |
| java    | notnoop/java-apns                                 |     290 | java-maven      |
| java    | jmxtrans/jmxtrans                                 |     288 | java-maven      |
| java    | scobal/seyren                                     |     282 | java-maven      |
| java    | ktoso/maven-git-commit-id-plugin                  |     278 | java-maven      |
| java    | jmkgreen/morphia                                  |     274 | java-maven      |
| java    | tomp2p/TomP2P                                     |     273 | java-maven      |
| java    | FasterXML/jackson-annotations                     |     268 | java-maven      |
| java    | springside/springside4                            |     265 | java-maven      |
| java    | gwtbootstrap3/gwtbootstrap3                       |     265 | java-maven      |
| java    | jhalterman/modelmapper                            |     262 | java-maven      |
| java    | iipc/openwayback                                  |     260 | java-maven      |
| java    | Nodeclipse/nodeclipse-1                           |     255 | java-maven      |
| java    | twitter/elephant-bird                             |     247 | java-maven      |
| java    | square/picasso                                    |     245 | java-maven      |
| java    | kelemen/netbeans-gradle-project                   |     238 | java-maven      |
| java    | devnied/EMV-NFC-Paycard-Enrollment                |     238 | java-maven      |
| java    | protostuff/protostuff                             |     238 | java-maven      |
| java    | qos-ch/logback                                    |     228 | java-maven      |
| java    | la-team/light-admin                               |     226 | java-maven      |
| java    | sachin-handiekar/jInstagram                       |     223 | java-maven      |
